"","country","date","cases","recovered","deaths","active_cases","day","month","y2019","y2020","flights"
"1","US",2020-01-22,1,0,0,1,22,1,4940,5070,0.974358974358974
"2","US",2020-01-23,1,0,0,1,23,1,5033,5321,0.945874835557226
"3","US",2020-01-24,2,0,0,2,24,1,5155,5351,0.963371332461222
"4","US",2020-01-25,2,0,0,2,25,1,5400,5511,0.979858464888405
"5","US",2020-01-26,5,0,0,5,26,1,5549,5215,1.064046021093
"6","US",2020-01-27,5,0,0,5,27,1,5130,5084,1.00904799370574
"7","US",2020-01-28,5,0,0,5,28,1,5066,4817,1.0516919244343
"8","US",2020-01-29,5,0,0,5,29,1,4773,4958,0.962686567164179
"9","US",2020-01-30,5,0,0,5,30,1,4941,5209,0.948550585525053
"10","US",2020-01-31,7,0,0,7,31,1,5133,5291,0.97013797013797
"11","US",2020-02-01,8,0,0,8,1,2,5390,5443,0.990262722763182
"12","US",2020-02-02,8,0,0,8,2,2,5495,5007,1.09746355102856
"13","US",2020-02-03,11,0,0,11,3,2,5032,5053,0.995844053037799
"14","US",2020-02-04,11,0,0,11,4,2,5141,4723,1.08850307008257
"15","US",2020-02-05,11,0,0,11,5,2,4846,4856,0.997940691927512
"16","US",2020-02-06,11,0,0,11,6,2,4971,5030,0.988270377733598
"17","US",2020-02-07,11,0,0,11,7,2,5183,5024,1.03164808917197
"18","US",2020-02-08,11,0,0,11,8,2,5339,5384,0.991641901931649
"19","US",2020-02-09,11,3,0,8,9,2,5421,4881,1.11063306699447
"20","US",2020-02-10,11,3,0,8,10,2,5259,4900,1.07326530612245
"21","US",2020-02-11,12,3,0,9,11,2,4691,4707,0.996600807308264
"22","US",2020-02-12,12,3,0,9,12,2,4565,4936,0.924837925445705
"23","US",2020-02-13,13,3,0,10,13,2,4818,5154,0.934807916181607
"24","US",2020-02-14,13,3,0,10,14,2,5400,5395,1.00092678405931
"25","US",2020-02-15,13,3,0,10,15,2,5584,5603,0.99660895948599
"26","US",2020-02-16,13,3,0,10,16,2,5694,5084,1.11998426435877
"27","US",2020-02-17,13,3,0,10,17,2,5179,5203,0.995387276571209
"28","US",2020-02-18,13,3,0,10,18,2,5360,5018,1.06815464328418
"29","US",2020-02-19,13,3,0,10,19,2,5192,5100,1.01803921568627
"30","US",2020-02-20,13,3,0,10,20,2,5095,5215,0.976989453499521
"31","US",2020-02-21,15,5,0,10,21,2,5403,5325,1.01464788732394
"32","US",2020-02-22,15,5,0,10,22,2,5569,5673,0.98166754803455
"33","US",2020-02-23,15,5,0,10,23,2,5726,5217,1.09756565075714
"34","US",2020-02-24,51,5,0,46,24,2,5267,5127,1.027306417008
"35","US",2020-02-25,51,6,0,45,25,2,5189,4918,1.05510370069134
